Date,NAV per Share,Ex-Dividends,,,
04-Apr-07,103.03,0,,,
05-Apr-07,103.06,0,,,
09-Apr-07,103.11,0,,,
10-Apr-07,103.13,0,,,
11-Apr-07,103.26,0,,,
12-Apr-07,103.32,0,,,
13-Apr-07,103.37,0,,,
16-Apr-07,103.54,0,,,
17-Apr-07,103.68,0,,,
18-Apr-07,103.78,0,,,
19-Apr-07,103.84,0,,,
20-Apr-07,103.96,0,,,
23-Apr-07,104.18,0,,,
24-Apr-07,104.27,0,,,
25-Apr-07,104.35,0,,,
26-Apr-07,104.4,0,,,
27-Apr-07,104.43,0,,,
30-Apr-07,104.52,0,,,
01-May-07,104.29,0.29,,,
02-May-07,104.22,0,,,
03-May-07,104.23,0,,,
04-May-07,104.35,0,,,
07-May-07,104.45,0,,,
08-May-07,104.45,0,,,
09-May-07,104.51,0,,,
10-May-07,104.6,0,,,
11-May-07,104.65,0,,,
14-May-07,104.75,0,,,
15-May-07,104.78,0,,,
16-May-07,104.79,0,,,
17-May-07,104.83,0,,,
18-May-07,104.81,0,,,
21-May-07,104.91,0,,,
22-May-07,104.85,0,,,
23-May-07,104.93,0,,,
24-May-07,104.91,0,,,
25-May-07,104.92,0,,,
29-May-07,104.95,0,,,
30-May-07,104.93,0,,,
31-May-07,104.87,0,,,
01-Jun-07,104.28,0.59,,,
04-Jun-07,104.28,0,,,
05-Jun-07,104.17,0,,,
06-Jun-07,104.14,0,,,
07-Jun-07,103.79,0,,,
08-Jun-07,103.42,0,,,
11-Jun-07,103.35,0,,,
12-Jun-07,103,0,,,
13-Jun-07,102.71,0,,,
14-Jun-07,102.59,0,,,
15-Jun-07,102.71,0,,,
18-Jun-07,102.79,0,,,
19-Jun-07,102.9,0,,,
20-Jun-07,102.74,0,,,
21-Jun-07,102.62,0,,,
22-Jun-07,102.54,0,,,
25-Jun-07,102.47,0,,,
26-Jun-07,102.34,0,,,
27-Jun-07,102.16,0,,,
28-Jun-07,101.69,0,,,
29-Jun-07,101.74,0,,,
02-Jul-07,101.02,0.6,,,
03-Jul-07,100.96,0,,,
05-Jul-07,100.83,0,,,
06-Jul-07,100.8,0,,,
09-Jul-07,100.85,0,,,
10-Jul-07,100.86,0,,,
11-Jul-07,100.66,0,,,
12-Jul-07,100.22,0,,,
13-Jul-07,100.47,0,,,
16-Jul-07,100.79,0,,,
17-Jul-07,100.97,0,,,
18-Jul-07,100.8,0,,,
19-Jul-07,100.56,0,,,
20-Jul-07,100.42,0,,,
23-Jul-07,100,0,,,
