Date,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
05-Jan-07,108.24,108.57,--,"200,000.00"
08-Jan-07,108.27,108.6,--,"200,000.00"
09-Jan-07,108.29,108.61,--,"200,000.00"
10-Jan-07,108.3,108.62,--,"200,000.00"
11-Jan-07,108.3,108.63,--,"200,000.00"
12-Jan-07,108.32,108.65,--,"300,000.00"
16-Jan-07,108.38,108.7,--,"300,000.00"
17-Jan-07,108.39,108.71,--,"300,000.00"
18-Jan-07,108.4,108.73,--,"300,000.00"
19-Jan-07,108.42,108.74,--,"300,000.00"
22-Jan-07,108.46,108.78,--,"300,000.00"
23-Jan-07,108.47,108.8,--,"300,000.00"
24-Jan-07,108.49,108.81,--,"300,000.00"
25-Jan-07,108.5,108.82,--,"300,000.00"
26-Jan-07,108.52,108.84,--,"300,000.00"
29-Jan-07,108.56,108.88,--,"300,000.00"
30-Jan-07,108.58,108.9,--,"300,000.00"
31-Jan-07,108.6,108.92,--,"300,000.00"
01-Feb-07,108.61,108.61,0.31,"300,000.00"
02-Feb-07,108.62,108.63,--,"300,000.00"
05-Feb-07,108.67,108.67,--,"300,000.00"
06-Feb-07,108.68,108.69,--,"300,000.00"
07-Feb-07,108.7,108.7,--,"300,000.00"
08-Feb-07,108.71,108.72,--,"300,000.00"
09-Feb-07,108.73,108.73,--,"300,000.00"
12-Feb-07,108.76,108.77,--,"300,000.00"
13-Feb-07,108.78,108.78,--,"300,000.00"
14-Feb-07,108.8,108.8,--,"300,000.00"
15-Feb-07,108.82,108.82,--,"300,000.00"
16-Feb-07,108.84,108.84,--,"300,000.00"
20-Feb-07,108.89,108.89,--,"300,000.00"
21-Feb-07,108.91,108.91,--,"300,000.00"
22-Feb-07,108.92,108.92,--,"300,000.00"
23-Feb-07,108.94,108.94,--,"300,000.00"
26-Feb-07,108.99,108.98,--,"300,000.00"
27-Feb-07,109.03,109.04,--,"600,000.00"
28-Feb-07,109.03,109.03,--,"600,000.00"
01-Mar-07,109.05,108.79,0.26,"600,000.00"
02-Mar-07,109.09,108.82,--,"900,000.00"
05-Mar-07,109.13,108.85,--,"900,000.00"
06-Mar-07,109.14,108.86,--,"900,000.00"
07-Mar-07,109.16,108.88,--,"900,000.00"
08-Mar-07,109.17,108.89,--,"900,000.00"
09-Mar-07,109.17,108.89,--,"1,200,000.00"
12-Mar-07,109.21,108.94,--,"1,200,000.00"
13-Mar-07,109.25,108.97,--,"1,200,000.00"
14-Mar-07,109.26,108.98,--,"1,200,000.00"
15-Mar-07,109.27,108.99,--,"1,200,000.00"
16-Mar-07,109.28,109.01,--,"1,200,000.00"
19-Mar-07,109.32,109.04,--,"1,200,000.00"
20-Mar-07,109.34,109.06,--,"1,300,000.00"
21-Mar-07,109.37,109.09,--,"1,300,000.00"
22-Mar-07,109.37,109.09,--,"1,300,000.00"
23-Mar-07,109.39,109.11,--,"1,300,000.00"
26-Mar-07,109.43,109.15,--,"2,100,000.00"
27-Mar-07,109.45,109.16,--,"2,100,000.00"
28-Mar-07,109.47,109.18,--,"2,400,000.00"
